,title,rating,director,year,runtime,age rating,image link,webpage
148,Guardians of the Galaxy Vol. 3,8.3,James Gunn,2023,2h 30m,12A,images\GuardiansoftheGalaxyVol3.jpg,http://www.imdb.com/title/tt6791350/
149,Kill Bill: Vol. 1,8.2,Quentin Tarantino,2003,1h 51m,18,images\KillBillVol1.jpg,http://www.imdb.com/title/tt0266697/
150,The Great Escape,8.2,John Sturges,1963,2h 52m,PG,images\TheGreatEscape.jpg,http://www.imdb.com/title/tt0057115/
151,Rashomon,8.2,Akira Kurosawa,1950,1h 28m,X,images\Rashomon.jpg,http://www.imdb.com/title/tt0042876/
152,The Thing,8.2,John Carpenter,1982,1h 49m,X,images\TheThing.jpg,http://www.imdb.com/title/tt0084787/
153,Finding Nemo,8.2,Andrew StantonLee Unkrich,2003,1h 40m,U,images\FindingNemo.jpg,http://www.imdb.com/title/tt0266543/
154,Spider-Man: No Way Home,8.2,Jon Watts,2021,2h 28m,12A,images\SpiderManNoWayHome.jpg,http://www.imdb.com/title/tt10872600/
155,The Elephant Man,8.2,David Lynch,1980,2h 4m,AA,images\TheElephantMan.jpg,http://www.imdb.com/title/tt0080678/
156,Chinatown,8.2,Roman Polanski,1974,2h 10m,X,images\Chinatown.jpg,http://www.imdb.com/title/tt0071315/
157,V for Vendetta,8.2,James McTeigue,2005,2h 12m,15,images\VforVendetta.jpg,http://www.imdb.com/title/tt0434409/
158,Raging Bull,8.1,Martin Scorsese,1980,2h 9m,X,images\RagingBull.jpg,http://www.imdb.com/title/tt0081398/
159,Gone with the Wind,8.2,Victor FlemingGeorge CukorSam Wood,1939,3h 58m,PG,images\GonewiththeWind.jpg,http://www.imdb.com/title/tt0031381/
160,Dial M for Murder,8.2,Alfred Hitchcock,1954,1h 45m,PG,images\DialMforMurder.jpg,http://www.imdb.com/title/tt0046912/
161,"Lock, Stock and Two Smoking Barrels",8.1,Guy Ritchie,1998,1h 47m,18,images\LockStockandTwoSmokingBarrels.jpg,http://www.imdb.com/title/tt0120735/
162,Inside Out,8.1,Pete DocterRonnie Del Carmen,2015,1h 35m,U,images\InsideOut.jpg,http://www.imdb.com/title/tt2096673/
163,Howl's Moving Castle,8.2,Hayao Miyazaki,2004,1h 59m,U,images\HowlsMovingCastle.jpg,http://www.imdb.com/title/tt0347149/
164,The Secret in Their Eyes,8.2,Juan José Campanella,2009,2h 9m,18,images\TheSecretinTheirEyes.jpg,http://www.imdb.com/title/tt1305806/
165,"Three Billboards Outside Ebbing, Missouri",8.1,Martin McDonagh,2017,1h 55m,15,images\ThreeBillboardsOutsideEbbingMissouri.jpg,http://www.imdb.com/title/tt5027774/
